"Town","County","Postcode"
"DUNGANNON","ARMAGH","BT716NS"
"DUNGANNON","TYRONE","BT716EW"
"DUNGANNON","TYRONE","BT716LE"
"MILLISLE","DOWN","BT222TW"
"DUNGANNON","TYRONE","BT716DH"
"DONAGHMORE","TYRONE","BT701RL"
"DUNGANNON","TYRONE","BT701TA"
"DUNGANNON","TYRONE","BT701DX"
"DROMORE","TYRONE","BT783AH"
"COALISLAND","TYRONE","BT714LZ"
"DUNGANNON","TYRONE","BT701EB"
"SWATRAGH","LONDONDERRY","BT465RF"
"DUNGANNON","TYRONE","BT717BE"
"DUNGANNON","TYRONE","BT701HF"
"DUNGANNON","TYRONE","BT714AG"
"DUNGANNON","TYRONE","BT714AF"
"DUNGANNON","TYRONE","BT717AL"
"DUNGANNON","TYRONE","BT717AD"
"COALISLAND","TYRONE","BT714NG"
"DUNGANNON","TYRONE","BT717AN"
"DUNGANNON","TYRONE","BT716DY"
NA,"ANTRIM","BT670SJ"
NA,"ANTRIM","BT670JY"
"LISBURN","ANTRIM","BT283JF"
"LURGAN","ARMAGH","BT679JP"
"LISBURN","ANTRIM","BT282NR"
"LISBURN","ANTRIM","BT283HH"
"LISBURN","ANTRIM","BT274YG"
"LISBURN","ANTRIM","BT281RH"
NA,"ANTRIM","BT670JH"
"PORTADOWN","ARMAGH","BT621TA"
"LISBURN","ANTRIM","BT282XT"
NA,"ANTRIM","BT670EB"
"LISBURN","ANTRIM","BT283HP"
"BUSH","TYRONE","BT716FP"
"LISBURN","ANTRIM","BT282UA"
NA,"ANTRIM","BT670JX"
"LISBURN","ANTRIM","BT283QS"
"DUNMURRY","ANTRIM","BT274QJ"
"DUNGANNON","TYRONE","BT716DL"
"LISBURN","ANTRIM","BT282UG"
"COALISLAND","TYRONE","BT714QU"
"MAGHERY","ARMAGH","BT716PF"
"LISBURN","ANTRIM","BT274JE"
"LISBURN","ANTRIM","BT275BT"
NA,"ANTRIM","BT670BF"
"DUNGANNON","TYRONE","BT716XQ"
"CARRYDUFF","DOWN","BT88DB"
"LISBURN","ANTRIM","BT274PN"
"LISBURN","ANTRIM","BT274LX"
"LISBURN","ANTRIM","BT274NA"
"LISBURN","DOWN","BT275PF"
"LISBURN","ANTRIM","BT275BS"
"LISBURN","ANTRIM","BT282ED"
"LISBURN","ANTRIM","BT281DZ"
"LISBURN","ANTRIM","BT283JH"
"LISBURN","ANTRIM","BT283GH"
"LISBURN","ANTRIM","BT283NN"
"LISBURN","ANTRIM","BT281JS"
"LISBURN","ANTRIM","BT283BG"
"LISBURN","ANTRIM","BT281JH"
"LISBURN","ANTRIM","BT274EF"
"CARRYDUFF","DOWN","BT88PG"
"LISBURN","DOWN","BT275LG"
"DUNGANNON","TYRONE","BT701NN"
NA,"TYRONE","BT701ET"
"COALISLAND","TYRONE","BT714RW"
"LISBURN","ANTRIM","BT281EA"
"LISBURN","ANTRIM","BT283BT"
"LISBURN","ANTRIM","BT283QB"
"LISBURN","ANTRIM","BT275DQ"
"LISBURN","ANTRIM","BT275BH"
"LISBURN","ANTRIM","BT274EP"
"DUNGANNON","TYRONE","BT716DJ"
"DUNGANNON","TYRONE","BT716JW"
NA,"DOWN","BT670GT"
"LISBURN","ANTRIM","BT281NW"
"LISBURN","ANTRIM","BT281NZ"
"LISBURN","ANTRIM","BT283DU"
"LISBURN","ANTRIM","BT274TP"
"DUNGANNON","TYRONE","BT716DA"
NA,"DOWN","BT670NN"
"LISBURN","ANTRIM","BT281SH"
"LISBURN","ANTRIM","BT283HE"
"LISBURN","ANTRIM","BT281UB"
"LISBURN","ANTRIM","BT283PP"
"LISBURN","DOWN","BT275QF"
"LISBURN","ANTRIM","BT275DE"
"LISBURN","ANTRIM","BT275BX"
NA,"DOWN","BT670NF"
"DROMORE","TYRONE","BT783AS"
"DUNGANNON","TYRONE","BT716BJ"
"DUNGANNON","TYRONE","BT716BN"
"ARMAGH","ARMAGH","BT618BL"
"DUNGANNON","TYRONE","BT716RG"
"CARRYDUFF","DOWN","BT88BJ"
"DUNGANNON","TYRONE","BT701UE"
"LISBURN","ANTRIM","BT282TN"
"DUNGANNON","TYRONE","BT717AZ"
"DUNGANNON","TYRONE","BT716UF"
"DUNGANNON","TYRONE","BT716JA"
"DUNGANNON","TYRONE","BT717BD"
"COALISLAND","TYRONE","BT714LP"
"COALISLAND","TYRONE","BT714SG"
"COALISLAND","TYRONE","BT714JU"
"COALISLAND","TYRONE","BT714LU"
"CRAIGAVON","ARMAGH","BT666PS"
"AGHALEE","ANTRIM","BT670DH"
NA,"ANTRIM","BT670SD"
"CRAIGAVON","ARMAGH","BT666PG"
"CRAIGAVON","ARMAGH","BT666QH"
"COALISLAND","TYRONE","BT714LF"
"COALISLAND","TYRONE","BT714RL"
"LISBURN","ANTRIM","BT282ND"
"COALISLAND","TYRONE","BT715DS"
"DUNGANNON","TYRONE","BT714EE"
"LISBURN","ANTRIM","BT283EU"
"DUNGANNON","TYRONE","BT716EP"
"COALISLAND","TYRONE","BT714NT"
"COALISLAND","TYRONE","BT714NR"
"LISBURN","ANTRIM","BT282QP"
NA,"ANTRIM","BT670NB"
"LISBURN","ANTRIM","BT282TX"
"PORTADOWN","ARMAGH","BT621UZ"
"BUSH","TYRONE","BT716QY"
"COALISLAND","TYRONE","BT714JW"
"LISBURN","ANTRIM","BT274DA"
"DUNGANNON","TYRONE","BT716TP"
"DUNGANNON","TYRONE","BT716EL"
NA,"DOWN","BT670NQ"
"LISBURN","ANTRIM","BT282JG"
"MOIRA","ANTRIM","BT670LS"
"LISBURN","ANTRIM","BT282JF"
NA,"ANTRIM","BT670EY"
"LISBURN","ANTRIM","BT282RN"
"LISBURN","ANTRIM","BT274AD"
"LISBURN","ANTRIM","BT274PL"
"LISBURN","DOWN","BT276YB"
"LISBURN","ANTRIM","BT281DT"
"LISBURN","DOWN","BT275QW"
"LISBURN","ANTRIM","BT274XZ"
NA,"ARMAGH","BT618LQ"
"LISBURN","DOWN","BT276YA"
"LISBURN","ANTRIM","BT282SA"
"LISBURN","DOWN","BT275NQ"
"PORTADOWN","ARMAGH","BT621PR"
"PORTADOWN","ARMAGH","BT621JN"
"LISBURN","DOWN","BT275BL"
"CARRYDUFF","DOWN","BT88DX"
"MOY","TYRONE","BT717SS"
"LISBURN","DOWN","BT275LS"
"MONEYREAGH","DOWN","BT236DB"
"BALLYGOWAN","DOWN","BT236JB"
"BALLYGOWAN","DOWN","BT235TH"
"DERRYGONNELLY","FERMANAGH","BT937DB"
"MOYGASHEL","TYRONE","BT717RH"
"LISBURN","ANTRIM","BT274YN"
"LISBURN","DOWN","BT275TX"
"CARRYDUFF","DOWN","BT88JF"
"BALLYGOWAN","DOWN","BT235TD"
"BALLYGOWAN","DOWN","BT236LN"
"COMBER","DOWN","BT236DN"
"KIRCUBBIN","DOWN","BT222RY"
"KIRCUBBIN","DOWN","BT222SQ"
"KIRCUBBIN","DOWN","BT222QT"
"AUGHNACLOY","TYRONE","BT696BZ"
"MOYGASHEL","TYRONE","BT717RL"
"PORTADOWN","ARMAGH","BT621UP"
"DUNMURRY","DOWN","BT179LR"
"CARRYDUFF","DOWN","BT88PJ"
"CARRYDUFF","DOWN","BT88DA"
"COMBER","DOWN","BT235SX"
"KILLINCHY","DOWN","BT236QR"
"CARRYDUFF","DOWN","BT88RS"
"BELLEEK","FERMANAGH","BT933AX"
"LISBURN","DOWN","BT275PD"
"LISBURN","ANTRIM","BT275DF"
"CARRYDUFF","DOWN","BT88PB"
"BALLYMARTIN","DOWN","BT344NT"
"BALLYHALBERT","DOWN","BT221BW"
"IRVINESTOWN","FERMANAGH","BT941QJ"
"LISBURN","ANTRIM","BT281HQ"
"DUNGANNON","TYRONE","BT702EF"
"BALLYGAWLEY","TYRONE","BT702JN"
"LISBURN","ANTRIM","BT281HW"
"LISBURN","ANTRIM","BT283LL"
"BALLYMONEY","ANTRIM","BT536GU"
"LISBURN","ANTRIM","BT283DN"
"LISBURN","ANTRIM","BT283BN"
"LISBURN","ANTRIM","BT274NU"
"LISBURN","ANTRIM","BT274AL"
"CARRYDUFF","DOWN","BT88NP"
"LISBURN","DOWN","BT275RQ"
"LISBURN","ANTRIM","BT282FE"
"LISBURN","ANTRIM","BT282AU"
"LISBURN","ANTRIM","BT282UH"
"LISBURN","ANTRIM","BT274LQ"
"LISBURN","ANTRIM","BT274UL"
"LISBURN","ANTRIM","BT281PT"
"LISBURN","ANTRIM","BT281LQ"
"LISBURN","ANTRIM","BT283BY"
"LISBURN","ANTRIM","BT281HH"
"LISBURN","ANTRIM","BT283NL"
"LISBURN","ANTRIM","BT274LJ"
"LISBURN","ANTRIM","BT274LH"
"LISBURN","ANTRIM","BT274PT"
"LISBURN","ANTRIM","BT281NG"
"LISBURN","ANTRIM","BT281YN"
"LISBURN","ANTRIM","BT281LW"
"LISBURN","ANTRIM","BT274HW"
"LISBURN","ANTRIM","BT275AB"
NA,"DOWN","BT88LZ"
"LISBURN","ANTRIM","BT283QE"
"LISBURN","ANTRIM","BT282FF"
"LISBURN","ANTRIM","BT281UH"
"LISBURN","ANTRIM","BT282DR"
"LISBURN","ANTRIM","BT275EZ"
"LISBURN","ANTRIM","BT275HP"
"LISBURN","DOWN","BT275LD"
"LISBURN","ANTRIM","BT274ET"
"LISBURN","ANTRIM","BT282DZ"
"LISBURN","ANTRIM","BT283DD"
"LISBURN","ANTRIM","BT281HX"
"LISBURN","ANTRIM","BT281XG"
"LISBURN","ANTRIM","BT274UG"
"LISBURN","ANTRIM","BT275BE"
"LISBURN","ANTRIM","BT274TW"
"LISBURN","ANTRIM","BT281SP"
"LISBURN","ANTRIM","BT281JJ"
"LISBURN","ANTRIM","BT283BJ"
"LISBURN","ANTRIM","BT281DJ"
"PORTADOWN","ARMAGH","BT621QU"
"PORTADOWN","ARMAGH","BT621QS"
"CARRYDUFF","DOWN","BT88AU"
"BALLYGOWAN","DOWN","BT235XS"
"LISNARICK","FERMANAGH","BT941PT"
"BALLYGAWLEY","TYRONE","BT702LA"
"AUGHNACLOY","TYRONE","BT696HD"
"PORTADOWN","ARMAGH","BT635RS"
"CARRYDUFF","DOWN","BT88SR"
"BELLEEK","FERMANAGH","BT933FT"
"IRVINESTOWN","FERMANAGH","BT941GH"
"IRVINESTOWN","FERMANAGH","BT941DD"
"LURGAN","ARMAGH","BT679BG"
"MOYGASHEL","TYRONE","BT717NU"
"FINTONA","TYRONE","BT782NU"
"LURGAN","ARMAGH","BT668LQ"
"DUNMURRY","DOWN","BT179LW"
"COMBER","DOWN","BT235LX"
"CRAIGAVON","ARMAGH","BT655HH"
"KILLINCHY","DOWN","BT236QY"
"WARINGSTOWN","DOWN","BT667RA"
"PORTADOWN","ARMAGH","BT621QN"
"PORTADOWN","ARMAGH","BT621UR"
"CRAIGAVON","ARMAGH","BT654AA"
"LURGAN","ARMAGH","BT679HB"
"LURGAN","ARMAGH","BT668LS"
"LURGAN","ARMAGH","BT666HU"
"LURGAN","ARMAGH","BT679EJ"
"LURGAN","ARMAGH","BT679AL"
"LURGAN","ARMAGH","BT668QT"
"CRAIGAVON","ARMAGH","BT655EQ"
"LURGAN","ARMAGH","BT668BW"
"PORTADOWN","ARMAGH","BT621JX"
"PORTADOWN","ARMAGH","BT621PG"
"CRAIGAVON","ARMAGH","BT655DG"
"LURGAN","ARMAGH","BT666RR"
"LISBURN","DOWN","BT275PL"
"LURGAN","ARMAGH","BT667DZ"
"MONEYREAGH","DOWN","BT236XF"
"LURGAN","ARMAGH","BT668RN"
"AUGHNACLOY","TYRONE","BT696EF"
"DUNMURRY","DOWN","BT179LZ"
"IRVINESTOWN","TYRONE","BT941HU"
"BENBURB","TYRONE","BT717PU"
"LURGAN","ARMAGH","BT679AE"
"CARRYDUFF","DOWN","BT88SW"
"BALLYGOWAN","DOWN","BT235TQ"
"BALLYGOWAN","DOWN","BT236HA"
"TRILLICK","TYRONE","BT783SL"
"KIRCUBBIN","DOWN","BT222SP"
"MOYGASHEL","TYRONE","BT717RA"
"FINTONA","TYRONE","BT782LH"
"KILLINCHY","DOWN","BT236RL"
"COMBER","DOWN","BT236DY"
"KILLINCHY","DOWN","BT236PF"
"BALLYWALTER","DOWN","BT222RD"
"KIRCUBBIN","DOWN","BT221AL"
"KIRCUBBIN","DOWN","BT222SJ"
"MOY","TYRONE","BT716RL"
"DUNGANNON","ARMAGH","BT716ST"
"PORTADOWN","ARMAGH","BT635DY"
"LISBURN","DOWN","BT275JJ"
"COMBER","DOWN","BT236EP"
"KILLINCHY","DOWN","BT236PY"
"BALLYGOWAN","DOWN","BT236NQ"
"BALLYGAWLEY","TYRONE","BT702LY"
"LISBURN","ANTRIM","BT274YW"
"DUNMURRY","DOWN","BT179ND"
"LISBURN","DOWN","BT276XQ"
"BALLYGOWAN","DOWN","BT236NB"
"IRVINESTOWN","FERMANAGH","BT941HQ"
"CLOGHER","TYRONE","BT760DW"
"DUNGANNON","TYRONE","BT701TH"
"DUNGANNON","TYRONE","BT703AF"
"DUNGANNON","TYRONE","BT701SA"
"DUNGANNON","TYRONE","BT701NZ"
"BALLYGOWAN","DOWN","BT235TR"
"KIRCUBBIN","DOWN","BT222RZ"
"BELLEEK","FERMANAGH","BT933FX"
"CARNTEEL","TYRONE","BT696EA"
"PORTADOWN","ARMAGH","BT635RU"
"PORTADOWN","ARMAGH","BT635HN"
"TRILLICK","TYRONE","BT783RH"
"BALLYHALBERT","DOWN","BT221BN"
"FINTONA","TYRONE","BT782JJ"
"FINTONA","TYRONE","BT782EL"
"PORTADOWN","ARMAGH","BT621RS"
NA,"DOWN","BT179LL"
"CARRYDUFF","DOWN","BT88QA"
"MOY","TYRONE","BT717TE"
"OMAGH","TYRONE","BT782RR"
"DUNGANNON","TYRONE","BT701NW"
"DUNGANNON","TYRONE","BT717DZ"
"LURGAN","ARMAGH","BT679BA"
"LURGAN","ARMAGH","BT679JN"
"PORTADOWN","ARMAGH","BT635JF"
"LURGAN","ARMAGH","BT668JR"
"LURGAN","ARMAGH","BT679DN"
"LURGAN","ARMAGH","BT668ED"
"CRAIGAVON","DOWN","BT667UA"
"PORTADOWN","ARMAGH","BT621SB"
"PORTAVOGIE","DOWN","BT221ET"
"LURGAN","ARMAGH","BT667AH"
"LURGAN","ARMAGH","BT667EB"
"AUGHNACLOY","TYRONE","BT696EZ"
NA,"DOWN","BT670JU"
"PORTADOWN","ARMAGH","BT635HW"
"PORTADOWN","ARMAGH","BT635DZ"
"HILLSBOROUGH","DOWN","BT266JG"
"LURGAN","ARMAGH","BT679DA"
"BALLYNAHINCH","DOWN","BT248UW"
"DERRYGONNELLY","FERMANAGH","BT936JX"
"BALLINAMALLARD","FERMANAGH","BT942GN"
"DERRYGONNELLY","FERMANAGH","BT936EH"
"ENNISKILLEN","FERMANAGH","BT748GE"
"BALLYGOWAN","DOWN","BT236JT"
"BALLINAMALLARD","FERMANAGH","BT942NR"
"BENBURB","TYRONE","BT717NS"
"MAGHERALIN","DOWN","BT670RN"
"CRAIGAVON","ARMAGH","BT655AQ"
"BALLYGOWAN","DOWN","BT236JW"
"KILLINCHY","DOWN","BT236UQ"
"LURGAN","ARMAGH","BT667AF"
"LURGAN","ARMAGH","BT667EA"
NA,"DOWN","BT670PZ"
"SAINTFIELD","DOWN","BT247NE"
"PORTAVOGIE","DOWN","BT221AB"
"CLOGHY","DOWN","BT221JB"
"AUGHNACLOY","TYRONE","BT696AE"
"MAGHERALIN","DOWN","BT670RT"
NA,"DOWN","BT670NU"
"PORTADOWN","ARMAGH","BT621DN"
"HILLSBOROUGH","DOWN","BT266AA"
"WARINGSTOWN","DOWN","BT667RR"
"CRAIGAVON","ARMAGH","BT655HE"
"PORTADOWN","ARMAGH","BT635XU"
"LURGAN","ARMAGH","BT666DU"
"HILLSBOROUGH","DOWN","BT266HJ"
"LURGAN","ARMAGH","BT679DF"
"LURGAN","ARMAGH","BT668NH"
"MOY","TYRONE","BT717SJ"
"CRAIGAVON","DOWN","BT667JG"
"LURGAN","ARMAGH","BT667DY"
"PORTADOWN","ARMAGH","BT621DR"
"PORTADOWN","ARMAGH","BT635TX"
"COALISLAND","TYRONE","BT714QL"
"LURGAN","ARMAGH","BT666AZ"
"LURGAN","ARMAGH","BT668JG"
"LURGAN","ARMAGH","BT668LU"
"LURGAN","ARMAGH","BT667BA"
"LURGAN","ARMAGH","BT666NL"
"PORTADOWN","ARMAGH","BT635SR"
"LURGAN","ARMAGH","BT668QD"
"LURGAN","ARMAGH","BT679EQ"
"LURGAN","ARMAGH","BT668JL"
"LURGAN","ARMAGH","BT666AY"
"LURGAN","ARMAGH","BT666HD"
"CRAIGAVON","ARMAGH","BT642AF"
"CASTLEWELLAN","DOWN","BT319NP"
"LURGAN","ARMAGH","BT666EP"
"LURGAN","ARMAGH","BT668HN"
"LURGAN","ARMAGH","BT679AD"
"WARINGSTOWN","DOWN","BT667QJ"
"LURGAN","ARMAGH","BT679LT"
"CRAIGAVON","ARMAGH","BT655HT"
"CRAIGAVON","DOWN","BT667JJ"
"PORTADOWN","ARMAGH","BT621JP"
"LURGAN","ARMAGH","BT666HJ"
"LURGAN","ARMAGH","BT666JF"
"LURGAN","ARMAGH","BT668PG"
"LURGAN","ARMAGH","BT668JT"
"LURGAN","ARMAGH","BT668PD"
"PORTADOWN","ARMAGH","BT635HP"
"LURGAN","ARMAGH","BT666SF"
"LURGAN","ARMAGH","BT666EE"
"LURGAN","ARMAGH","BT666JY"
"AUGHNACLOY","TYRONE","BT696HZ"
"WARINGSTOWN","DOWN","BT667RP"
NA,"DOWN","BT670PB"
"HILLSBOROUGH","DOWN","BT266JF"
"SAINTFIELD","DOWN","BT247JQ"
"SAINTFIELD","DOWN","BT247JU"
"HILLSBOROUGH","DOWN","BT266RX"
"HILLSBOROUGH","DOWN","BT266LU"
"HILLSBOROUGH","DOWN","BT266BS"
"DERRYGONNELLY","FERMANAGH","BT936HW"
"DROMORE","DOWN","BT251JF"
"PORTADOWN","ARMAGH","BT623QB"
"PORTADOWN","ARMAGH","BT623HN"
"DUNGANNON","TYRONE","BT717LX"
"TEMPO","FERMANAGH","BT943NS"
"MAGHERALIN","DOWN","BT670QW"
"SAINTFIELD","DOWN","BT247NT"
"SAINTFIELD","DOWN","BT247BY"
"SAINTFIELD","DOWN","BT247LG"
"DERRYGONNELLY","FERMANAGH","BT936AB"
"LURGAN","ARMAGH","BT668ST"
"DERRYGONNELLY","FERMANAGH","BT936DR"
"TEMPO","FERMANAGH","BT943JW"
"BROOKEBOROUGH","FERMANAGH","BT750SU"
"CROSSGAR","DOWN","BT309NU"
"PORTADOWN","ARMAGH","BT635BW"
"AUGHNACLOY","TYRONE","BT696AW"
"CROSSGAR","DOWN","BT309NT"
"LURGAN","ARMAGH","BT667BP"
"FIVEMILETOWN","TYRONE","BT750LH"
"FIVEMILETOWN","TYRONE","BT750RW"
"FIVEMILETOWN","TYRONE","BT750LN"
"RICHHILL","ARMAGH","BT618QN"
"PORTADOWN","ARMAGH","BT624HG"
"PORTADOWN","ARMAGH","BT621AL"
"PORTADOWN","ARMAGH","BT621BT"
"PORTADOWN","ARMAGH","BT623DL"
"PORTAVOGIE","DOWN","BT221DY"
"WARINGSTOWN","DOWN","BT667PS"
"LURGAN","ARMAGH","BT668HJ"
"PORTADOWN","ARMAGH","BT635TL"
"PORTADOWN","ARMAGH","BT635NE"
"DROMORE","DOWN","BT251QJ"
"PORTADOWN","ARMAGH","BT624DX"
"PORTADOWN","ARMAGH","BT624AD"
"LURGAN","ARMAGH","BT667EJ"
"IRVINESTOWN","FERMANAGH","BT941NY"
"PORTADOWN","ARMAGH","BT635UW"
"DUNGANNON","TYRONE","BT701LT"
"PORTADOWN","ARMAGH","BT623JX"
"PORTADOWN","ARMAGH","BT624AN"
"PORTADOWN","ARMAGH","BT623ED"
"BALLINAMALLARD","FERMANAGH","BT942LS"
"PORTADOWN","ARMAGH","BT635DQ"
"PORTADOWN","ARMAGH","BT635LG"
"GILFORD","DOWN","BT636AS"
"PORTADOWN","ARMAGH","BT623DW"
"DERRYGONNELLY","FERMANAGH","BT936JU"
"BALLYNAHINCH","DOWN","BT248UU"
"LISBURN","DOWN","BT276UW"
"RATHFRILAND","DOWN","BT345NG"
"GARRISON","FERMANAGH","BT934BA"
"DERRYGONNELLY","FERMANAGH","BT936JA"
"BALLINAMALLARD","FERMANAGH","BT942BY"
"GILFORD","DOWN","BT636AG"
"CRAIGAVON","DOWN","BT667BE"
"PORTADOWN","ARMAGH","BT635DA"
"MAGHERALIN","DOWN","BT670RB"
"AUGHNACLOY","TYRONE","BT696AG"
"CLOGHER","TYRONE","BT760AE"
"AUGHER","TYRONE","BT770BE"
"KILLINCHY","DOWN","BT236RG"
"ARMAGH","ARMAGH","BT618BU"
NA,"ARMAGH","BT717LN"
"MAGHERALIN","DOWN","BT670QP"
"LURGAN","ARMAGH","BT667ET"
"SAINTFIELD","DOWN","BT247LW"
"CROSSGAR","DOWN","BT309JP"
"HILLSBOROUGH","DOWN","BT266NP"
"PORTAVOGIE","DOWN","BT221EQ"
"ENNISKILLEN","FERMANAGH","BT937DP"
"AUGHNACLOY","TYRONE","BT696AU"
"TEMPO","FERMANAGH","BT943HQ"
"LISBURN","DOWN","BT248UG"
"CROSSGAR","DOWN","BT309LR"
"TEMPO","FERMANAGH","BT943AR"
"BALLINAMALLARD","FERMANAGH","BT942HW"
"ENNISKILLEN","FERMANAGH","BT942GS"
"DROMORE","DOWN","BT266HX"
"BALLYCASTLE","ANTRIM","BT546AN"
NA,"DOWN","BT670NP"
NA,"DOWN","BT670PA"
"GARRISON","FERMANAGH","BT934AN"
"SAINTFIELD","DOWN","BT247EP"
"KILLINCHY","DOWN","BT236TJ"
"HILLSBOROUGH","DOWN","BT266EF"
"PORTAFERRY","DOWN","BT221HG"
"DROMORE","DOWN","BT251DN"
"DONAGHCLONEY","DOWN","BT667LR"
"RICHHILL","ARMAGH","BT619QH"
"RICHHILL","ARMAGH","BT619QU"
NA,"ARMAGH","BT618NY"
"PORTADOWN","ARMAGH","BT624EU"
"PORTADOWN","ARMAGH","BT624AG"
"PORTADOWN","ARMAGH","BT623BQ"
"PORTADOWN","ARMAGH","BT635JP"
"DROMORE","DOWN","BT251HG"
"PORTADOWN","ARMAGH","BT624EH"
"PORTADOWN","ARMAGH","BT624AH"
"GILFORD","DOWN","BT636HX"
"BANBRIDGE","DOWN","BT324HP"
"CRAIGAVON","DOWN","BT667PP"
"DROMORE","DOWN","BT251SZ"
"PORTADOWN","ARMAGH","BT624DF"
"AUGHER","TYRONE","BT770EX"
"PORTADOWN","ARMAGH","BT623TR"
"ENNISKILLEN","FERMANAGH","BT744BH"
"DROMARA","DOWN","BT252QE"
"PORTADOWN","ARMAGH","BT635AQ"
"PORTAFERRY","DOWN","BT221NZ"
"CASTLEWELLAN","DOWN","BT319TZ"
"DROMORE","DOWN","BT252AH"
"DRUMANESS","DOWN","BT248RN"
"BALLYNAHINCH","DOWN","BT248ER"
"ENNISKILLEN","FERMANAGH","BT747EH"
"LAWRENCETOWN","DOWN","BT636DF"
"BALLYNAHINCH","DOWN","BT248DA"
"DROMORE","DOWN","BT251QG"
"KILLYLEAGH","DOWN","BT309QT"
"ENNISKILLEN","FERMANAGH","BT745PJ"
"DROMORE","DOWN","BT251PY"
"DROMARA","DOWN","BT252HY"
"KILLYLEAGH","DOWN","BT309RJ"
"ENNISKILLEN","FERMANAGH","BT745NA"
"ENNISKILLEN","FERMANAGH","BT746AN"
"FIVEMILETOWN","TYRONE","BT750RZ"
"DROMORE","DOWN","BT251PU"
"LOUGHGALL","ARMAGH","BT618JT"
"ARMAGH","ARMAGH","BT618ER"
"KILLYLEAGH","DOWN","BT309PY"
"CROSSGAR","DOWN","BT309LA"
"PORTADOWN","ARMAGH","BT623AN"
"PORTADOWN","ARMAGH","BT621HX"
"DROMORE","DOWN","BT251TP"
"BANBRIDGE","DOWN","BT324NN"
NA,"ARMAGH","BT618NP"
"RICHHILL","ARMAGH","BT619LT"
"PORTADOWN","ARMAGH","BT623AX"
"PORTADOWN","ARMAGH","BT621BH"
"PORTADOWN","ARMAGH","BT635YJ"
"CRAIGAVON","DOWN","BT667NJ"
"LONDONDERRY","LONDONDERRY","BT488QL"
"PORTADOWN","ARMAGH","BT623NX"
"PORTADOWN","DOWN","BT635SY"
"PORTADOWN","ARMAGH","BT635TY"
"PORTADOWN","ARMAGH","BT635HL"
"GILFORD","DOWN","BT636JS"
"DUNGANNON","TYRONE","BT701LG"
"DUNGANNON","ARMAGH","BT716TE"
"PORTADOWN","ARMAGH","BT635ED"
"PORTADOWN","ARMAGH","BT635EF"
"PORTADOWN","ARMAGH","BT623JF"
"PORTADOWN","ARMAGH","BT635HE"
"PORTADOWN","ARMAGH","BT623RR"
"PORTADOWN","ARMAGH","BT624ET"
"ARMAGH","ARMAGH","BT618NH"
"PORTADOWN","ARMAGH","BT623LN"
"PORTADOWN","DOWN","BT635PA"
"PORTADOWN","ARMAGH","BT635TZ"
"PORTADOWN","ARMAGH","BT624HQ"
"PORTADOWN","ARMAGH","BT623SG"
"GILFORD","DOWN","BT635NH"
"ARMAGH","ARMAGH","BT618EY"
"PORTADOWN","ARMAGH","BT623RD"
"PORTADOWN","ARMAGH","BT623RU"
"PORTADOWN","DOWN","BT635SW"
"PORTADOWN","ARMAGH","BT635EQ"
"DROMORE","DOWN","BT251NB"
"DROMORE","DOWN","BT251AG"
"DROMORE","DOWN","BT251FA"
"AUGHER","TYRONE","BT770EG"
"ARMAGH","ARMAGH","BT618HB"
"PORTADOWN","ARMAGH","BT623EU"
"PORTADOWN","ARMAGH","BT623HG"
"PORTADOWN","ARMAGH","BT623AS"
"KILLYLEAGH","DOWN","BT309TY"
"ENNISKILLEN","FERMANAGH","BT747GP"
"ENNISKILLEN","FERMANAGH","BT747JZ"
"CRAIGAVON","DOWN","BT667LG"
"HILLSBOROUGH","DOWN","BT266BW"
"DROMORE","DOWN","BT251EU"
"BALLYNAHINCH","DOWN","BT248YW"
"BALLYNAHINCH","DOWN","BT248YE"
"STRANGFORD","DOWN","BT307NW"
"ENNISKILLEN","FERMANAGH","BT744GG"
"DROMORE","DOWN","BT251QE"
"BALLYNAHINCH","DOWN","BT248HE"
"KILLYLEAGH","DOWN","BT309TL"
"DOWNPATRICK","DOWN","BT308QB"
"CROSSGAR","DOWN","BT309DL"
"ENNISKILLEN","FERMANAGH","BT745BJ"
"DROMORE","DOWN","BT252AU"
"DRUMANESS","DOWN","BT248RT"
"BALLYNAHINCH","DOWN","BT248YF"
"KILLYLEAGH","DOWN","BT309RN"
"PORTADOWN","ARMAGH","BT623SY"
"DROMORE","DOWN","BT251FD"
"BALLYNAHINCH","DOWN","BT248HH"
"BANBRIDGE","DOWN","BT323TU"
"DROMORE","DOWN","BT251PB"
"DROMORE","DOWN","BT251QQ"
"PORTADOWN","ARMAGH","BT623SZ"
"TANDRAGEE","ARMAGH","BT622HF"
"ARMAGH","ARMAGH","BT604ND"
"ARMAGH","ARMAGH","BT601HG"
"ARMAGH","ARMAGH","BT601DL"
"TANDRAGEE","ARMAGH","BT622AX"
"ARMAGH","ARMAGH","BT601HX"
"ARMAGH","ARMAGH","BT619EY"
"ARMAGH","ARMAGH","BT602AF"
"KILLYLEAGH","DOWN","BT309QU"
"ARMAGH","ARMAGH","BT601DS"
"ARMAGH","ARMAGH","BT601NG"
"ENNISKILLEN","FERMANAGH","BT746DQ"
"CALEDON","TYRONE","BT684XE"
"ENNISKILLEN","FERMANAGH","BT744DY"
"ARMAGH","ARMAGH","BT604NL"
"ARMAGH","ARMAGH","BT604DF"
"ENNISKILLEN","FERMANAGH","BT747HF"
"DRUMANESS","DOWN","BT248RD"
